index,lower,upper
545,20062826128544016136683/16000000000000000000000000000000,40125652257088032273471/32000000000000000000000000000000
546,7778223144522085432643/6400000000000000000000000000000,972277893065260679083/800000000000000000000000000000
547,9423640471054870831683/8000000000000000000000000000000,37694561884219483326837/32000000000000000000000000000000
548,36534822137210745990991/32000000000000000000000000000000,4566852767151343248887/4000000000000000000000000000000
549,7082152766213338440121/6400000000000000000000000000000,3541076383106669220071/3200000000000000000000000000000
550,17160644581631345945661/16000000000000000000000000000000,34321289163262691891427/32000000000000000000000000000000
551,33265334107106981583119/32000000000000000000000000000000,4158166763388372697903/4000000000000000000000000000000
552,16120933686283767103289/16000000000000000000000000000000,32241867372567534206683/32000000000000000000000000000000
553,6249977879814184992787/6400000000000000000000000000000,781247234976773124101/800000000000000000000000000000
554,6057686275857903663891/6400000000000000000000000000000,757210784482237957989/800000000000000000000000000000
555,1834784644560222856807/2000000000000000000000000000000,29356554312963565709017/32000000000000000000000000000000
556,2845334808983413691263/3200000000000000000000000000000,5690669617966827382547/6400000000000000000000000000000
557,13788965300395619449237/16000000000000000000000000000000,27577930600791238898579/32000000000000000000000000000000
558,3341180859546129009719/4000000000000000000000000000000,26729446876369032077857/32000000000000000000000000000000
559,1619191765734172640009/2000000000000000000000000000000,25907068251746762240249/32000000000000000000000000000000
560,12554995778719956514143/16000000000000000000000000000000,25109991557439913028391/32000000000000000000000000000000
561,2433743833489117396047/3200000000000000000000000000000,973497533395646958423/1280000000000000000000000000000
562,23588654076195137214871/32000000000000000000000000000000,46071589992568627373/62500000000000000000000000000
563,4572581497442841280253/6400000000000000000000000000000,2286290748721420640137/3200000000000000000000000000000
564,22159489773366045385731/32000000000000000000000000000000,5539872443341511346459/8000000000000000000000000000000
565,4295542789477007442289/6400000000000000000000000000000,429554278947700744231/640000000000000000000000000000
566,10408457079190841949669/16000000000000000000000000000000,20816914158381683899443/32000000000000000000000000000000
567,20176445041544678375409/32000000000000000000000000000000,10088222520772339187757/16000000000000000000000000000000
568,9777840543925270135799/16000000000000000000000000000000,19555681087850540271703/32000000000000000000000000000000
569,18954016033165247573813/32000000000000000000000000000000,9477008016582623786959/16000000000000000000000000000000
570,18370862266141235127849/32000000000000000000000000000000,9185431133070617563977/16000000000000000000000000000000
571,3561130050866297471633/6400000000000000000000000000000,1780565025433148735827/3200000000000000000000000000000
572,2157228498495030516663/4000000000000000000000000000000,17257827987960244133409/32000000000000000000000000000000
573,4181715110201770725343/8000000000000000000000000000000,16726860440807082901477/32000000000000000000000000000000
574,16212229047677853860551/32000000000000000000000000000000,1013264315479865866291/2000000000000000000000000000000
575,31426862395904288693/64000000000000000000000000000,3142686239590428869321/6400000000000000000000000000000
576,15229979744712649631853/32000000000000000000000000000000,7614989872356324815979/16000000000000000000000000000000
577,1476140252897704527677/3200000000000000000000000000000,23618244046363272443/51200000000000000000000000000
578,14307241918567705906531/32000000000000000000000000000000,3576810479641926476659/8000000000000000000000000000000
579,1733381795146113903419/4000000000000000000000000000000,13867054361168911227457/32000000000000000000000000000000
580,6720204975567518093611/16000000000000000000000000000000,13440409951135036187327/32000000000000000000000000000000
581,13026892009626651976831/32000000000000000000000000000000,1628361501203331497117/4000000000000000000000000000000
582,6313048338832240581429/16000000000000000000000000000000,12626096677664481162963/32000000000000000000000000000000
583,12237632521703766364463/32000000000000000000000000000000,1529704065212970795571/4000000000000000000000000000000
584,11861120151343839845223/32000000000000000000000000000000,741320009458989990333/2000000000000000000000000000000
585,57480959243997665697/160000000000000000000000000000,2299238369759906627901/6400000000000000000000000000000
586,11142491209772552938029/32000000000000000000000000000000,5571245604886276469067/16000000000000000000000000000000
587,2699918198843020786489/8000000000000000000000000000000,10799672795372083146061/32000000000000000000000000000000
588,5233700897372332079519/16000000000000000000000000000000,10467401794744664159143/32000000000000000000000000000000
589,1014535369808385954027/3200000000000000000000000000000,81162829584670876323/256000000000000000000000000000
590,2458303494925089402457/8000000000000000000000000000000,9833213979700357609933/32000000000000000000000000000000
591,4765338895421490453453/16000000000000000000000000000000,9530677790842980907011/32000000000000000000000000000000
592,9237449661970599627247/32000000000000000000000000000000,1154681207746324953419/4000000000000000000000000000000
593,8953243214184175289759/32000000000000000000000000000000,1119155401773021911233/4000000000000000000000000000000
594,8677780879537107053269/32000000000000000000000000000000,4338890439768553526687/16000000000000000000000000000000
595,4205396814975362013771/16000000000000000000000000000000,8410793629950724027647/32000000000000000000000000000000
596,8152020714470171069487/32000000000000000000000000000000,1019002589308771383699/4000000000000000000000000000000
597,1975302351151020283443/8000000000000000000000000000000,7901209404604081133877/32000000000000000000000000000000
598,7658114747499322212413/32000000000000000000000000000000,3829057373749661106259/16000000000000000000000000000000
599,1484499865341951792117/6400000000000000000000000000000,742249932670975896069/3200000000000000000000000000000
600,1438826606065077147889/6400000000000000000000000000000,143882660606507714791/640000000000000000000000000000
601,11156468521976602007/51200000000000000000000000000,87159910327942203181/400000000000000000000000000000
602,3379131272152781124759/16000000000000000000000000000000,6758262544305562249623/32000000000000000000000000000000
603,6550332665257606641087/32000000000000000000000000000000,818791583157200830149/4000000000000000000000000000000
604,396800007252730101753/2000000000000000000000000000000,6348800116043681628153/32000000000000000000000000000000
605,3076734035758403050783/16000000000000000000000000000000,6153468071516806101671/32000000000000000000000000000000
606,1192829152440629055957/6400000000000000000000000000000,596414576220314527989/3200000000000000000000000000000
607,1156129657597706985371/6400000000000000000000000000000,72258103599856686587/400000000000000000000000000000
608,350174777346079287203/2000000000000000000000000000000,700349554692158574419/4000000000000000000000000000000
609,678802064158348087369/4000000000000000000000000000000,339401032079174043691/2000000000000000000000000000000
610,5263340161707316350187/32000000000000000000000000000000,5263340161707316350291/32000000000000000000000000000000
611,5101404209080826072957/32000000000000000000000000000000,5101404209080826073061/32000000000000000000000000000000
612,988890100387728975883/6400000000000000000000000000000,4944450501938644879519/32000000000000000000000000000000
613,4792325752702175738047/32000000000000000000000000000000,4792325752702175738151/32000000000000000000000000000000
614,2322440694977905000617/16000000000000000000000000000000,2322440694977905000669/16000000000000000000000000000000
615,4501973413345846570267/32000000000000000000000000000000,4501973413345846570371/32000000000000000000000000000000
616,4363462252943701991699/32000000000000000000000000000000,4363462252943701991803/32000000000000000000000000000000
617,4229212632936059692629/32000000000000000000000000000000,4229212632936059692733/32000000000000000000000000000000
618,4099093439508832433029/32000000000000000000000000000000,4099093439508832433133/32000000000000000000000000000000
619,397297759279590790721/3200000000000000000000000000000,1986488796397953953657/16000000000000000000000000000000
620,1925370961383808632209/16000000000000000000000000000000,1925370961383808632261/16000000000000000000000000000000
621,186613352446885700859/1600000000000000000000000000000,933066762234428504321/8000000000000000000000000000000
622,1808718631885690061877/16000000000000000000000000000000,1808718631885690061929/16000000000000000000000000000000
623,701228083936078121873/6400000000000000000000000000000,3506140419680390609469/32000000000000000000000000000000
624,1699133909747535730277/16000000000000000000000000000000,1699133909747535730329/16000000000000000000000000000000
625,205857131894130069331/2000000000000000000000000000000,16468570551530405547/160000000000000000000000000000
626,159618859028616846729/1600000000000000000000000000000,798094295143084233671/8000000000000000000000000000000
627,3094158060394598063571/32000000000000000000000000000000,123766322415783922547/1280000000000000000000000000000
628,2998960824857307467217/32000000000000000000000000000000,2998960824857307467321/32000000000000000000000000000000
629,726673125086073234023/8000000000000000000000000000000,726673125086073234049/8000000000000000000000000000000
630,2817262973736830917527/32000000000000000000000000000000,2817262973736830917631/32000000000000000000000000000000
631,109223396176215689271/1280000000000000000000000000000,2730584904405392231879/32000000000000000000000000000000
632,330821704863639638983/4000000000000000000000000000000,82705426215909909749/1000000000000000000000000000000
633,2565147128319711493953/32000000000000000000000000000000,2565147128319711494057/32000000000000000000000000000000
634,248622584808901960493/3200000000000000000000000000000,1243112924044509802517/16000000000000000000000000000000
635,602433180095503038759/8000000000000000000000000000000,120486636019100607757/1600000000000000000000000000000
636,72987282462479289741/1000000000000000000000000000000,291949129849917158977/4000000000000000000000000000000
637,1131867197707957529033/16000000000000000000000000000000,226373439541591505817/3200000000000000000000000000000
638,2194086610064318604843/32000000000000000000000000000000,2194086610064318604947/32000000000000000000000000000000
639,2126581661793876637423/32000000000000000000000000000000,2126581661793876637527/32000000000000000000000000000000
640,2061153622438557880457/32000000000000000000000000000000,2061153622438557880561/32000000000000000000000000000000
641,1997738592228756747511/32000000000000000000000000000000,399547718445751349523/6400000000000000000000000000000
642,1936274637384096122869/32000000000000000000000000000000,1936274637384096122973/32000000000000000000000000000000
643,469175432406574436781/8000000000000000000000000000000,469175432406574436807/8000000000000000000000000000000
644,909480843776522968433/16000000000000000000000000000000,181896168755304593697/3200000000000000000000000000000
645,1762998119815587892789/32000000000000000000000000000000,1762998119815587892893/32000000000000000000000000000000
646,1708756370044575455693/32000000000000000000000000000000,1708756370044575455797/32000000000000000000000000000000
647,1656183463470360575507/32000000000000000000000000000000,1656183463470360575611/32000000000000000000000000000000
648,1605228055185611633419/32000000000000000000000000000000,1605228055185611633529/32000000000000000000000000000000
649,1555840379999721716373/32000000000000000000000000000000,1555840379999721716483/32000000000000000000000000000000
650,301594440767206910849/6400000000000000000000000000000,301594440767206910871/6400000000000000000000000000000
651,58463071064976824417/1280000000000000000000000000000,292315355324884122107/6400000000000000000000000000000
652,1416608786643196238231/32000000000000000000000000000000,1416608786643196238341/32000000000000000000000000000000
653,171628039533224288111/4000000000000000000000000000000,686512158132897152499/16000000000000000000000000000000
654,332695199767241656019/8000000000000000000000000000000,665390399534483312093/16000000000000000000000000000000
655,322459244565157066783/8000000000000000000000000000000,644918489130314133621/16000000000000000000000000000000
656,125015286638674264061/3200000000000000000000000000000,15626910829834283009/400000000000000000000000000000
657,605844853138947691451/16000000000000000000000000000000,302922426569473845753/8000000000000000000000000000000
658,587204966598707932339/16000000000000000000000000000000,293602483299353966197/8000000000000000000000000000000
659,569138569077039279867/16000000000000000000000000000000,284569284538519639961/8000000000000000000000000000000
660,551628016171776965241/16000000000000000000000000000000,34476751010736060331/1000000000000000000000000000000
661,1069312412683880856391/32000000000000000000000000000000,1069312412683880856501/32000000000000000000000000000000
662,1036413128411301101109/32000000000000000000000000000000,1036413128411301101219/32000000000000000000000000000000
663,62782878043989494253/2000000000000000000000000000000,502263024351915954079/16000000000000000000000000000000
664,7606406494538723019/250000000000000000000000000000,486810015650478273271/16000000000000000000000000000000
665,471832446044392740171/16000000000000000000000000000000,235916223022196370113/8000000000000000000000000000000
666,457315687810491876271/16000000000000000000000000000000,228657843905245938163/8000000000000000000000000000000
667,886491126546674083319/32000000000000000000000000000000,886491126546674083429/32000000000000000000000000000000
668,53701041369838185951/2000000000000000000000000000000,429608330958705487663/16000000000000000000000000000000
669,832781344346179652119/32000000000000000000000000000000,832781344346179652229/32000000000000000000000000000000
670,403579677996102892207/16000000000000000000000000000000,201789838998051446131/8000000000000000000000000000000
671,78232567334616847337/3200000000000000000000000000000,19558141833654211837/800000000000000000000000000000
672,379128021395595337679/16000000000000000000000000000000,189564010697797668867/8000000000000000000000000000000
673,367463478457869451671/16000000000000000000000000000000,183731739228934725863/8000000000000000000000000000000
674,142463126311059677833/6400000000000000000000000000000,712315631555298389269/32000000000000000000000000000000
675,345199991770200821469/16000000000000000000000000000000,345199991770200821521/16000000000000000000000000000000
676,669158609129278200197/32000000000000000000000000000000,669158609129278200301/32000000000000000000000000000000
677,648570763104061977231/32000000000000000000000000000000,129714152620812395467/6400000000000000000000000000000
678,628616338510140713297/32000000000000000000000000000000,628616338510140713401/32000000000000000000000000000000
679,609275847018860097859/32000000000000000000000000000000,609275847018860097963/32000000000000000000000000000000
680,295265199947201987751/16000000000000000000000000000000,295265199947201987803/16000000000000000000000000000000
681,286180844773131042371/16000000000000000000000000000000,286180844773131042423/16000000000000000000000000000000
682,554751971649268696429/32000000000000000000000000000000,554751971649268696533/32000000000000000000000000000000
683,67210505976718728863/4000000000000000000000000000000,16802626494179682219/1000000000000000000000000000000
684,260570624394426996149/16000000000000000000000000000000,260570624394426996201/16000000000000000000000000000000
685,505107418182662087723/32000000000000000000000000000000,505107418182662087827/32000000000000000000000000000000
686,30597931042698556707/2000000000000000000000000000000,61195862085397113427/4000000000000000000000000000000
687,237252253382390860563/16000000000000000000000000000000,47450450676478172123/3200000000000000000000000000000
688,459905537865231678437/32000000000000000000000000000000,459905537865231678541/32000000000000000000000000000000
689,55719466502337654623/4000000000000000000000000000000,13929866625584413659/1000000000000000000000000000000
690,86408253986171250653/6400000000000000000000000000000,432041269930856253369/32000000000000000000000000000000
691,209374378741175532379/16000000000000000000000000000000,209374378741175532431/16000000000000000000000000000000
692,405865212647569312803/32000000000000000000000000000000,405865212647569312907/32000000000000000000000000000000
693,78675610563166559867/6400000000000000000000000000000,393378052815832799439/32000000000000000000000000000000
694,38127508250269573787/3200000000000000000000000000000,190637541251347868987/16000000000000000000000000000000
695,369544481439322732819/32000000000000000000000000000000,369544481439322732923/32000000000000000000000000000000
696,358174793028318073791/32000000000000000000000000000000,71634958605663614779/6400000000000000000000000000000
697,6943098263094636463/640000000000000000000000000000,173577456577365911627/16000000000000000000000000000000
698,168237039670657527851/16000000000000000000000000000000,168237039670657527903/16000000000000000000000000000000
699,81530465059358204407/8000000000000000000000000000000,81530465059358204433/8000000000000000000000000000000
700,3951101817892115447/400000000000000000000000000000,39511018178921154483/4000000000000000000000000000000
701,306363135576075046829/32000000000000000000000000000000,306363135576075046933/32000000000000000000000000000000
702,296937332818713937179/32000000000000000000000000000000,296937332818713937283/32000000000000000000000000000000
703,71950382881165196553/8000000000000000000000000000000,71950382881165196579/8000000000000000000000000000000
704,278946809286892480853/32000000000000000000000000000000,278946809286892480957/32000000000000000000000000000000
705,67591129552997673693/8000000000000000000000000000000,67591129552997673719/8000000000000000000000000000000
706,131023138237123088427/16000000000000000000000000000000,131023138237123088479/16000000000000000000000000000000
707,253983960129615932663/32000000000000000000000000000000,253983960129615932767/32000000000000000000000000000000
708,6154242379538461647/800000000000000000000000000000,3846401487211538531/500000000000000000000000000000
709,119297924945429110903/16000000000000000000000000000000,23859584989085822191/3200000000000000000000000000000
710,231255027322348782401/32000000000000000000000000000000,46251005464469756501/6400000000000000000000000000000
711,448280116241110869/64000000000000000000000000000,56035014530138858651/8000000000000000000000000000000
712,108621996753950847921/16000000000000000000000000000000,108621996753950847973/16000000000000000000000000000000
713,105280049249110727917/16000000000000000000000000000000,105280049249110727969/16000000000000000000000000000000
714,204081845319088781673/32000000000000000000000000000000,204081845319088781777/32000000000000000000000000000000
715,98901453518260680509/16000000000000000000000000000000,197802907036521361123/32000000000000000000000000000000
716,191717151375831198983/32000000000000000000000000000000,11982321960989449943/2000000000000000000000000000000
717,185818634732587752869/32000000000000000000000000000000,92909317366293876487/16000000000000000000000000000000
718,180101596367844359853/32000000000000000000000000000000,90050798183922179979/16000000000000000000000000000000
719,17456045278195877207/3200000000000000000000000000000,6982418111278350887/1280000000000000000000000000000
720,33837958452302607223/6400000000000000000000000000000,8459489613075651811/1600000000000000000000000000000
721,163984369594007009979/32000000000000000000000000000000,40996092398501752521/8000000000000000000000000000000
722,19867387618145458159/4000000000000000000000000000000,158939100945163665377/32000000000000000000000000000000
723,7702452944692156803/1600000000000000000000000000000,30809811778768627233/6400000000000000000000000000000
724,14930946761971640297/3200000000000000000000000000000,5972378704788656123/1280000000000000000000000000000
725,72357849119499346339/16000000000000000000000000000000,72357849119499346391/16000000000000000000000000000000
726,17532908035460909279/4000000000000000000000000000000,4383227008865227323/1000000000000000000000000000000
727,13594781731988848609/3200000000000000000000000000000,67973908659944243097/16000000000000000000000000000000
728,8235321418809666757/2000000000000000000000000000000,16470642837619333527/4000000000000000000000000000000
729,127711155451283333781/32000000000000000000000000000000,25542231090256666777/6400000000000000000000000000000
730,15472737034594816017/4000000000000000000000000000000,1547273703459481603/400000000000000000000000000000
731,119973527697938000993/32000000000000000000000000000000,119973527697938001097/32000000000000000000000000000000
732,116282330302209703731/32000000000000000000000000000000,23256466060441940767/6400000000000000000000000000000
733,28176174777814327089/8000000000000000000000000000000,5635234955562865423/1600000000000000000000000000000
734,54618570030143531601/16000000000000000000000000000000,54618570030143531653/16000000000000000000000000000000
735,105876266585577450421/32000000000000000000000000000000,4235050663423098021/1280000000000000000000000000000
736,4104751852680756121/1280000000000000000000000000000,102618796317018903129/32000000000000000000000000000000
737,9946154787241337693/3200000000000000000000000000000,49730773936206688517/16000000000000000000000000000000
738,96401437750402956407/32000000000000000000000000000000,96401437750402956511/32000000000000000000000000000000
739,18687095463798599319/6400000000000000000000000000000,93435477318992996699/32000000000000000000000000000000
740,5660048118545541773/2000000000000000000000000000000,11320096237091083559/4000000000000000000000000000000
741,1755490158473485201/640000000000000000000000000000,43887253961837130077/16000000000000000000000000000000
742,85073970219432295617/32000000000000000000000000000000,85073970219432295721/32000000000000000000000000000000
743,41228259662762267879/16000000000000000000000000000000,41228259662762267931/16000000000000000000000000000000
744,79919598929539319529/32000000000000000000000000000000,79919598929539319633/32000000000000000000000000000000
745,77460731368529560771/32000000000000000000000000000000,619685850948236487/256000000000000000000000000000
746,75077515209223112973/32000000000000000000000000000000,75077515209223113077/32000000000000000000000000000000
747,2273988215708819827/1000000000000000000000000000000,9095952862835279321/4000000000000000000000000000000
748,70528798511121595903/32000000000000000000000000000000,70528798511121596007/32000000000000000000000000000000
749,34179427752332372567/16000000000000000000000000000000,34179427752332372619/16000000000000000000000000000000
750,66255674625887249273/32000000000000000000000000000000,66255674625887249377/32000000000000000000000000000000
751,64217201820060937229/32000000000000000000000000000000,64217201820060937333/32000000000000000000000000000000
752,62241446229077832307/32000000000000000000000000000000,62241446229077832411/32000000000000000000000000000000
753,60326478247094556801/32000000000000000000000000000000,12065295649418911381/6400000000000000000000000000000
754,58470427635998269283/32000000000000000000000000000000,58470427635998269387/32000000000000000000000000000000
755,56671481698853619523/32000000000000000000000000000000,56671481698853619627/32000000000000000000000000000000
756,54927883509546832659/32000000000000000000000000000000,54927883509546832763/32000000000000000000000000000000
757,5323793019689791873/3200000000000000000000000000000,26618965098448959417/16000000000000000000000000000000
758,51599971281565199517/32000000000000000000000000000000,51599971281565199621/32000000000000000000000000000000
759,50012407064117903853/32000000000000000000000000000000,50012407064117903957/32000000000000000000000000000000
760,6059210882837819429/4000000000000000000000000000000,3029605441418909721/2000000000000000000000000000000
761,46982308498777312539/32000000000000000000000000000000,46982308498777312643/32000000000000000000000000000000
762,22768407414717682141/16000000000000000000000000000000,22768407414717682193/16000000000000000000000000000000
763,44135794324883988767/32000000000000000000000000000000,44135794324883988871/32000000000000000000000000000000
764,42777878689689979531/32000000000000000000000000000000,8555575737937995927/6400000000000000000000000000000
765,20730870863222445333/16000000000000000000000000000000,4146174172644489077/3200000000000000000000000000000
766,40186098040544979997/32000000000000000000000000000000,40186098040544980101/32000000000000000000000000000000
767,38949701784820884059/32000000000000000000000000000000,38949701784820884163/32000000000000000000000000000000
768,18875672721395488751/16000000000000000000000000000000,18875672721395488803/16000000000000000000000000000000
769,36589858649350091093/32000000000000000000000000000000,36589858649350091197/32000000000000000000000000000000
770,35464107047741823411/32000000000000000000000000000000,7092821409548364703/6400000000000000000000000000000
771,34372991181698117411/32000000000000000000000000000000,6874598236339623503/6400000000000000000000000000000
772,16657722710832059437/16000000000000000000000000000000,16657722710832059489/16000000000000000000000000000000
773,16145218462029811429/16000000000000000000000000000000,16145218462029811481/16000000000000000000000000000000
774,39121205778200849/40000000000000000000000000000,3912120577820084913/4000000000000000000000000000000
775,1516702912520810017/1600000000000000000000000000000,7583514562604050111/8000000000000000000000000000000
776,29400777392844724827/32000000000000000000000000000000,29400777392844724931/32000000000000000000000000000000
777,3562026321073233427/4000000000000000000000000000000,22262664506707709/25000000000000000000000000000
778,27619474339709460341/32000000000000000000000000000000,5523894867941892089/6400000000000000000000000000000
779,6692428112203247003/8000000000000000000000000000000,6692428112203247029/8000000000000000000000000000000
780,25946094982764665929/32000000000000000000000000000000,25946094982764666033/32000000000000000000000000000000
781,25147817562175440211/32000000000000000000000000000000,5029563512435088063/6400000000000000000000000000000
782,12187050277904156029/16000000000000000000000000000000,12187050277904156081/16000000000000000000000000000000
783,2362418831915774633/3200000000000000000000000000000,11812094159578873217/16000000000000000000000000000000
784,915893938258221157/1280000000000000000000000000000,22897348456455529029/32000000000000000000000000000000
785,2774108888172789613/4000000000000000000000000000000,1387054444086394813/2000000000000000000000000000000
786,21510068243786300629/32000000000000000000000000000000,21510068243786300733/32000000000000000000000000000000
787,20848273017731890271/32000000000000000000000000000000,166786184141855123/256000000000000000000000000000
788,20206839090222170821/32000000000000000000000000000000,808273563608886837/1280000000000000000000000000000
789,2448142501244882577/4000000000000000000000000000000,244814250124488259/400000000000000000000000000000
790,1186410537470292379/2000000000000000000000000000000,2372821074940584771/4000000000000000000000000000000
791,18398536362386388793/32000000000000000000000000000000,18398536362386388897/32000000000000000000000000000000
792,8916236454073194739/16000000000000000000000000000000,8916236454073194791/16000000000000000000000000000000
793,17283825395474502953/32000000000000000000000000000000,17283825395474503057/32000000000000000000000000000000
794,83760289960900647/160000000000000000000000000000,523501812255629047/1000000000000000000000000000000
795,4059162837974009303/8000000000000000000000000000000,4059162837974009329/8000000000000000000000000000000
796,15737102106862900959/32000000000000000000000000000000,15737102106862901063/32000000000000000000000000000000
797,3050584475263843709/6400000000000000000000000000000,15252922376319218649/32000000000000000000000000000000
798,14783639290016480511/32000000000000000000000000000000,2956727858003296123/6400000000000000000000000000000
799,7164397263197118201/16000000000000000000000000000000,7164397263197118253/16000000000000000000000000000000
800,13887943864964020579/32000000000000000000000000000000,13887943864964020683/32000000000000000000000000000000
801,3365164188116244207/8000000000000000000000000000000,3365164188116244233/8000000000000000000000000000000
802,1630814485295933893/4000000000000000000000000000000,815407242647966953/2000000000000000000000000000000
803,6322558393657009131/16000000000000000000000000000000,6322558393657009183/16000000000000000000000000000000
804,12256067444099482639/32000000000000000000000000000000,12256067444099482743/32000000000000000000000000000000
805,11878987890804760969/32000000000000000000000000000000,11878987890804761073/32000000000000000000000000000000
806,2878377463927505729/8000000000000000000000000000000,575675492785501151/1600000000000000000000000000000
807,5579638198812545579/16000000000000000000000000000000,5579638198812545631/16000000000000000000000000000000
808,2703985389321423073/8000000000000000000000000000000,2703985389321423099/8000000000000000000000000000000
809,655198126217194847/2000000000000000000000000000000,1310396252434389707/4000000000000000000000000000000
810,2032127357108261433/6400000000000000000000000000000,10160636785541307269/32000000000000000000000000000000
811,615501678499345299/2000000000000000000000000000000,1231003356998690611/4000000000000000000000000000000
812,9545034922840628687/32000000000000000000000000000000,9545034922840628791/32000000000000000000000000000000
813,1850273014290896781/6400000000000000000000000000000,9251365071454484009/32000000000000000000000000000000
814,8966730491527303519/32000000000000000000000000000000,8966730491527303623/32000000000000000000000000000000
815,543178324811291687/2000000000000000000000000000000,1086356649622583387/4000000000000000000000000000000
816,842346375446864739/3200000000000000000000000000000,4211731877234323747/16000000000000000000000000000000
817,8164301020237896169/32000000000000000000000000000000,8164301020237896273/32000000000000000000000000000000
818,3956555942541846013/16000000000000000000000000000000,791311188508369213/3200000000000000000000000000000
819,3834825513576433599/16000000000000000000000000000000,3834825513576433651/16000000000000000000000000000000
820,7433680672352188163/32000000000000000000000000000000,7433680672352188267/32000000000000000000000000000000
821,3602485181064097757/16000000000000000000000000000000,3602485181064097809/16000000000000000000000000000000
822,1745824182097926763/8000000000000000000000000000000,1745824182097926789/8000000000000000000000000000000
823,6768443275367165913/32000000000000000000000000000000,6768443275367166017/32000000000000000000000000000000
824,1640050042038444663/8000000000000000000000000000000,1640050042038444689/8000000000000000000000000000000
825,3179182013895971609/16000000000000000000000000000000,3179182013895971661/16000000000000000000000000000000
826,6162737732634820079/32000000000000000000000000000000,6162737732634820183/32000000000000000000000000000000
827,5973130225831057653/32000000000000000000000000000000,5973130225831057757/32000000000000000000000000000000
828,5789356328730651579/32000000000000000000000000000000,5789356328730651683/32000000000000000000000000000000
829,5611236560031702169/32000000000000000000000000000000,5611236560031702273/32000000000000000000000000000000
830,5438596960491441163/32000000000000000000000000000000,5438596960491441267/32000000000000000000000000000000
831,5271268923030333223/32000000000000000000000000000000,5271268923030333327/32000000000000000000000000000000
832,1021817805612664941/6400000000000000000000000000000,5109089028063324809/32000000000000000000000000000000
833,2475949441948708641/16000000000000000000000000000000,2475949441948708693/16000000000000000000000000000000
834,4799544972039692003/32000000000000000000000000000000,4799544972039692107/32000000000000000000000000000000
835,4651878497264705099/32000000000000000000000000000000,4651878497264705203/32000000000000000000000000000000
836,1127188810573706267/8000000000000000000000000000000,1127188810573706293/8000000000000000000000000000000
837,2185017713475792879/16000000000000000000000000000000,2185017713475792931/16000000000000000000000000000000
838,2117791785820248369/16000000000000000000000000000000,2117791785820248421/16000000000000000000000000000000
839,2052634182517992253/16000000000000000000000000000000,410526836503598461/3200000000000000000000000000000
840,3978962535837240079/32000000000000000000000000000000,3978962535837240183/32000000000000000000000000000000
841,771308545693944871/6400000000000000000000000000000,3856542728469724459/32000000000000000000000000000000
842,233618086413183507/2000000000000000000000000000000,467236172826367027/4000000000000000000000000000000
843,3622886616422782457/32000000000000000000000000000000,3622886616422782561/32000000000000000000000000000000
844,3511422113376511551/32000000000000000000000000000000,702284422675302331/6400000000000000000000000000000
845,850846753139919023/8000000000000000000000000000000,850846753139919049/8000000000000000000000000000000
846,1649337901178998369/16000000000000000000000000000000,1649337901178998421/16000000000000000000000000000000
847,31971862174082907/320000000000000000000000000000,799296554352072701/8000000000000000000000000000000
848,1549409569360912713/16000000000000000000000000000000,309881913872182553/3200000000000000000000000000000
849,3003478496880553641/32000000000000000000000000000000,600695699376110749/6400000000000000000000000000000
850,727767794552921781/8000000000000000000000000000000,727767794552921807/8000000000000000000000000000000
851,22572055470791803/256000000000000000000000000000,2821506933848975479/32000000000000000000000000000000
852,13673491457959373/160000000000000000000000000000,170918643224492169/2000000000000000000000000000000
853,2650560470476524973/32000000000000000000000000000000,2650560470476525077/32000000000000000000000000000000
854,1284505648987551307/16000000000000000000000000000000,1284505648987551359/16000000000000000000000000000000
855,1244985564871339843/16000000000000000000000000000000,248997112974267979/3200000000000000000000000000000
856,2413362771833214031/32000000000000000000000000000000,482672554366642827/6400000000000000000000000000000
857,2339111405308701217/32000000000000000000000000000000,2339111405308701321/32000000000000000000000000000000
858,2267144513167859123/32000000000000000000000000000000,2267144513167859227/32000000000000000000000000000000
859,1098695904761490277/16000000000000000000000000000000,1098695904761490329/16000000000000000000000000000000
860,2129785170955785023/32000000000000000000000000000000,2129785170955785127/32000000000000000000000000000000
861,41285171399704579/640000000000000000000000000000,1032129284992614527/16000000000000000000000000000000
862,100037400529114807/1600000000000000000000000000000,500187002645574061/8000000000000000000000000000000
863,387838293133757917/6400000000000000000000000000000,1939191465668789689/32000000000000000000000000000000
864,23494110206738541/400000000000000000000000000000,234941102067385423/4000000000000000000000000000000
865,1821701794145670803/32000000000000000000000000000000,1821701794145670907/32000000000000000000000000000000
866,55176685068473989/1000000000000000000000000000000,220706740273895969/4000000000000000000000000000000
867,855665230985594291/16000000000000000000000000000000,855665230985594343/16000000000000000000000000000000
868,1658678358914231261/32000000000000000000000000000000,331735671782846273/6400000000000000000000000000000
869,1607646190766354713/32000000000000000000000000000000,1607646190766354817/32000000000000000000000000000000
870,311636823474009533/6400000000000000000000000000000,1558184117370047769/32000000000000000000000000000000
871,302048766397647731/6400000000000000000000000000000,1510243831988238759/32000000000000000000000000000000
872,1463778514125908913/32000000000000000000000000000000,1463778514125909017/32000000000000000000000000000000
873,1418742783803231611/32000000000000000000000000000000,283748556760646343/6400000000000000000000000000000
874,687546328617789361/16000000000000000000000000000000,687546328617789413/16000000000000000000000000000000
875,1332785503877110713/32000000000000000000000000000000,1332785503877110817/32000000000000000000000000000000
