index,lower,upper
546,4726621506717/25000000000000000000000000000,302503776429893/1600000000000000000000000000000
547,71043999782161/400000000000000000000000000000,284175999128649/1600000000000000000000000000000
548,266958645719519/1600000000000000000000000000000,66739661429881/400000000000000000000000000000
549,626961097549777/4000000000000000000000000000000,1253922195099579/8000000000000000000000000000000
550,294487722457067/2000000000000000000000000000000,1177950889828293/8000000000000000000000000000000
551,138322806657179/1000000000000000000000000000000,1106582453257457/8000000000000000000000000000000
552,519769005835107/4000000000000000000000000000000,1039538011670239/8000000000000000000000000000000
553,488277793727073/4000000000000000000000000000000,976555587454171/8000000000000000000000000000000
554,114673634427239/1000000000000000000000000000000,917389075417937/8000000000000000000000000000000
555,861807281129963/8000000000000000000000000000000,215451820282497/2000000000000000000000000000000
556,202398254380313/2000000000000000000000000000000,809593017521277/8000000000000000000000000000000
557,760542256222043/8000000000000000000000000000000,190135564055517/2000000000000000000000000000000
558,35723166515831/400000000000000000000000000000,142892666063329/1600000000000000000000000000000
559,167794046350163/2000000000000000000000000000000,671176185400677/8000000000000000000000000000000
560,630511676014691/8000000000000000000000000000000,157627919003679/2000000000000000000000000000000
561,296155452352309/4000000000000000000000000000000,592310904704643/8000000000000000000000000000000
562,111284920225277/1600000000000000000000000000000,55642460112641/800000000000000000000000000000
563,522712538768903/8000000000000000000000000000000,16334766836529/250000000000000000000000000000
564,245521493507951/4000000000000000000000000000000,491042987015927/8000000000000000000000000000000
565,230646098202843/4000000000000000000000000000000,461292196405711/8000000000000000000000000000000
566,21667195753871/400000000000000000000000000000,86668783015489/1600000000000000000000000000000
567,407088934514461/8000000000000000000000000000000,203544467257243/4000000000000000000000000000000
568,47803082851213/1000000000000000000000000000000,382424662809729/8000000000000000000000000000000
569,179627361892737/4000000000000000000000000000000,359254723785499/8000000000000000000000000000000
570,337488580401521/8000000000000000000000000000000,168744290200773/4000000000000000000000000000000
571,79260295244891/2000000000000000000000000000000,317041180979589/8000000000000000000000000000000
572,297832626862013/8000000000000000000000000000000,148916313431019/4000000000000000000000000000000
573,139893930103113/4000000000000000000000000000000,279787860206251/8000000000000000000000000000000
574,262836370694359/8000000000000000000000000000000,16427273168399/500000000000000000000000000000
575,49382384002553/1600000000000000000000000000000,24691192001279/800000000000000000000000000000
576,231952283024347/8000000000000000000000000000000,57988070756093/2000000000000000000000000000000
577,2723737557781/100000000000000000000000000000,27237375577813/1000000000000000000000000000000
578,204697171316411/8000000000000000000000000000000,40939434263287/1600000000000000000000000000000
579,48073799163901/2000000000000000000000000000000,48073799163907/2000000000000000000000000000000
580,1129028872841/50000000000000000000000000000,22580577456823/1000000000000000000000000000000
581,33939983086093/1600000000000000000000000000000,169699915430489/8000000000000000000000000000000
582,3985457932843/200000000000000000000000000000,9963644832109/500000000000000000000000000000
583,37439912434063/2000000000000000000000000000000,37439912434069/2000000000000000000000000000000
584,28137234248921/1600000000000000000000000000000,140686171244629/8000000000000000000000000000000
585,26432485404879/1600000000000000000000000000000,132162427024419/8000000000000000000000000000000
586,124155110359849/8000000000000000000000000000000,124155110359873/8000000000000000000000000000000
587,11663293248709/800000000000000000000000000000,58316466243557/4000000000000000000000000000000
588,54783250166307/4000000000000000000000000000000,54783250166319/4000000000000000000000000000000
589,51464100829607/4000000000000000000000000000000,51464100829619/4000000000000000000000000000000
590,19338419434113/1600000000000000000000000000000,96692097170589/8000000000000000000000000000000
591,45416909576429/4000000000000000000000000000000,45416909576441/4000000000000000000000000000000
592,85330476257431/8000000000000000000000000000000,17066095251491/1600000000000000000000000000000
593,3206422562093/320000000000000000000000000000,80160564052349/8000000000000000000000000000000
594,301215523973/32000000000000000000000000000,37651940496637/4000000000000000000000000000000
595,7074144948561/800000000000000000000000000000,35370724742817/4000000000000000000000000000000
596,66455441729141/8000000000000000000000000000000,13291088345833/1600000000000000000000000000000
597,31214555027697/4000000000000000000000000000000,31214555027709/4000000000000000000000000000000
598,58646721485857/8000000000000000000000000000000,58646721485881/8000000000000000000000000000000
599,55093496254997/8000000000000000000000000000000,55093496255021/8000000000000000000000000000000
600,51755550058009/8000000000000000000000000000000,51755550058033/8000000000000000000000000000000
601,4861983979759/800000000000000000000000000000,24309919898807/4000000000000000000000000000000
602,22837056308877/4000000000000000000000000000000,22837056308889/4000000000000000000000000000000
603,42906858025531/8000000000000000000000000000000,8581371605111/1600000000000000000000000000000
604,40307262913467/8000000000000000000000000000000,40307262913491/8000000000000000000000000000000
605,1183286540849/250000000000000000000000000000,4733146163399/1000000000000000000000000000000
606,35571034672797/8000000000000000000000000000000,35571034672821/8000000000000000000000000000000
607,4176986828677/1000000000000000000000000000000,104424670717/25000000000000000000000000000
608,3923915990059/1000000000000000000000000000000,1961957995031/500000000000000000000000000000
609,921544484611/250000000000000000000000000000,3686177938447/1000000000000000000000000000000
610,27702749657833/8000000000000000000000000000000,27702749657857/8000000000000000000000000000000
611,26024324904419/8000000000000000000000000000000,26024324904443/8000000000000000000000000000000
612,24447590766113/8000000000000000000000000000000,24447590766137/8000000000000000000000000000000
613,5741596530001/2000000000000000000000000000000,5741596530007/2000000000000000000000000000000
614,21574923126749/8000000000000000000000000000000,21574923126773/8000000000000000000000000000000
615,316683822101/125000000000000000000000000000,2533470576811/1000000000000000000000000000000
616,2379975354107/1000000000000000000000000000000,237997535411/100000000000000000000000000000
617,17886239494577/8000000000000000000000000000000,17886239494601/8000000000000000000000000000000
618,3360513405163/1600000000000000000000000000000,16802567025839/8000000000000000000000000000000
619,15784550952849/8000000000000000000000000000000,15784550952873/8000000000000000000000000000000
620,14828213355751/8000000000000000000000000000000,593128534231/320000000000000000000000000000
621,13929817324577/8000000000000000000000000000000,13929817324601/8000000000000000000000000000000
622,13085852357313/8000000000000000000000000000000,13085852357337/8000000000000000000000000000000
623,3073255160627/2000000000000000000000000000000,3073255160633/2000000000000000000000000000000
624,11548224173007/8000000000000000000000000000000,11548224173031/8000000000000000000000000000000
625,10848552640421/8000000000000000000000000000000,2169710528089/1600000000000000000000000000000
626,10191272063031/8000000000000000000000000000000,2038254412611/1600000000000000000000000000000
627,9573814102697/8000000000000000000000000000000,9573814102721/8000000000000000000000000000000
628,8993766029021/8000000000000000000000000000000,1798753205809/1600000000000000000000000000000
629,168977225831/160000000000000000000000000000,4224430645787/4000000000000000000000000000000
630,7936970663181/8000000000000000000000000000000,1587394132641/1600000000000000000000000000000
631,7456093920159/8000000000000000000000000000000,7456093920183/8000000000000000000000000000000
632,7004352026161/8000000000000000000000000000000,1400870405237/1600000000000000000000000000000
633,6579979789919/8000000000000000000000000000000,6579979789943/8000000000000000000000000000000
634,3090659483849/4000000000000000000000000000000,3090659483861/4000000000000000000000000000000
635,725851472959/1000000000000000000000000000000,362925736481/500000000000000000000000000000
636,4261714721/6250000000000000000000000000,681874355363/1000000000000000000000000000000
637,5124493412981/8000000000000000000000000000000,1024898682601/1600000000000000000000000000000
638,962803210491/1600000000000000000000000000000,4814016052479/8000000000000000000000000000000
639,4522349564269/8000000000000000000000000000000,2261174782147/4000000000000000000000000000000
640,4248354255283/8000000000000000000000000000000,1062088563827/2000000000000000000000000000000
641,498869935359/1000000000000000000000000000000,3990959482897/8000000000000000000000000000000
642,3749159471369/8000000000000000000000000000000,1874579735697/4000000000000000000000000000000
643,1761004690987/4000000000000000000000000000000,3522009381999/8000000000000000000000000000000
644,3308621620777/8000000000000000000000000000000,1654310810401/4000000000000000000000000000000
645,621632474093/1600000000000000000000000000000,3108162370489/8000000000000000000000000000000
646,4562263019/12500000000000000000000000000,364981041523/1000000000000000000000000000000
647,548588732933/1600000000000000000000000000000,2742943664689/8000000000000000000000000000000
648,2576757109147/8000000000000000000000000000000,2576757109171/8000000000000000000000000000000
649,242063928803/800000000000000000000000000000,1210319644027/4000000000000000000000000000000
650,1136990083767/4000000000000000000000000000000,1136990083779/4000000000000000000000000000000
651,53405166849/200000000000000000000000000000,33378229281/125000000000000000000000000000
652,2006780454387/8000000000000000000000000000000,2006780454411/8000000000000000000000000000000
653,1885195773049/8000000000000000000000000000000,1885195773073/8000000000000000000000000000000
654,885488767581/4000000000000000000000000000000,1770977535187/8000000000000000000000000000000
655,20795992881/100000000000000000000000000000,332735886101/1600000000000000000000000000000
656,781441094663/4000000000000000000000000000000,1562882189351/8000000000000000000000000000000
657,1468191944291/8000000000000000000000000000000,367047986079/2000000000000000000000000000000
658,86202418199/500000000000000000000000000000,1379238691209/8000000000000000000000000000000
659,323918710809/2000000000000000000000000000000,64783742163/400000000000000000000000000000
660,608586936447/4000000000000000000000000000000,608586936459/4000000000000000000000000000000
661,1143429035911/8000000000000000000000000000000,228685807187/1600000000000000000000000000000
662,214830434547/1600000000000000000000000000000,1074152172759/8000000000000000000000000000000
663,252268145629/2000000000000000000000000000000,50453629127/400000000000000000000000000000
664,473967982671/4000000000000000000000000000000,473967982683/4000000000000000000000000000000
665,111312928569/1000000000000000000000000000000,890503428577/8000000000000000000000000000000
666,836550553261/8000000000000000000000000000000,418275276643/4000000000000000000000000000000
667,785866517437/8000000000000000000000000000000,392933258731/4000000000000000000000000000000
668,184563318027/2000000000000000000000000000000,738253272133/8000000000000000000000000000000
669,693524767483/8000000000000000000000000000000,173381191877/2000000000000000000000000000000
670,325753112979/4000000000000000000000000000000,651506225983/8000000000000000000000000000000
671,612033459169/8000000000000000000000000000000,306016729597/4000000000000000000000000000000
672,287476113211/4000000000000000000000000000000,574952226447/8000000000000000000000000000000
673,270058815997/4000000000000000000000000000000,540117632019/8000000000000000000000000000000
674,507393558951/8000000000000000000000000000000,7928024359/125000000000000000000000000000
675,95330427453/1600000000000000000000000000000,47665213729/800000000000000000000000000000
676,111943311041/2000000000000000000000000000000,447773244189/8000000000000000000000000000000
677,210322017373/4000000000000000000000000000000,42064403477/800000000000000000000000000000
678,197579250517/4000000000000000000000000000000,197579250529/4000000000000000000000000000000
679,371217057753/8000000000000000000000000000000,371217057777/8000000000000000000000000000000
680,43590769149/1000000000000000000000000000000,85138221/1953125000000000000000000000
681,327597903653/8000000000000000000000000000000,327597903677/8000000000000000000000000000000
682,307749750041/8000000000000000000000000000000,61549950013/1600000000000000000000000000000
683,144552067633/4000000000000000000000000000000,28910413529/800000000000000000000000000000
684,135794100591/4000000000000000000000000000000,135794100603/4000000000000000000000000000000
685,31891687987/1000000000000000000000000000000,3189168799/100000000000000000000000000000
686,239675746321/8000000000000000000000000000000,47935149269/1600000000000000000000000000000
687,225154526933/8000000000000000000000000000000,225154526957/8000000000000000000000000000000
688,26439137969/1000000000000000000000000000000,6609784493/250000000000000000000000000000
689,9934908631/400000000000000000000000000000,49674543161/2000000000000000000000000000000
690,46664914729/2000000000000000000000000000000,9332982947/400000000000000000000000000000
691,35070104377/1600000000000000000000000000000,17535052191/800000000000000000000000000000
692,164726570829/8000000000000000000000000000000,82363285427/4000000000000000000000000000000
693,154746292429/8000000000000000000000000000000,77373146227/4000000000000000000000000000000
694,145370688529/8000000000000000000000000000000,72685344277/4000000000000000000000000000000
695,68281561877/4000000000000000000000000000000,136563123779/8000000000000000000000000000000
696,128289182353/8000000000000000000000000000000,64144591189/4000000000000000000000000000000
697,3012913343/200000000000000000000000000000,24103306749/1600000000000000000000000000000
698,113214806061/8000000000000000000000000000000,56607403043/4000000000000000000000000000000
699,106355467717/8000000000000000000000000000000,53177733871/4000000000000000000000000000000
700,49955857837/4000000000000000000000000000000,99911715699/8000000000000000000000000000000
701,5866148177/500000000000000000000000000000,93858370857/8000000000000000000000000000000
702,88171779613/8000000000000000000000000000000,44085889819/4000000000000000000000000000000
703,82829721539/8000000000000000000000000000000,20707430391/2000000000000000000000000000000
704,38905661201/4000000000000000000000000000000,77811322427/8000000000000000000000000000000
705,73096972699/8000000000000000000000000000000,18274243181/2000000000000000000000000000000
706,13733650201/1600000000000000000000000000000,6866825103/800000000000000000000000000000
707,32253925997/4000000000000000000000000000000,64507852019/8000000000000000000000000000000
708,60599518817/8000000000000000000000000000000,30299759421/4000000000000000000000000000000
709,7115997447/1000000000000000000000000000000,56927979601/8000000000000000000000000000000
710,53478887653/8000000000000000000000000000000,26739443839/4000000000000000000000000000000
711,10047753129/1600000000000000000000000000000,5023876567/800000000000000000000000000000
712,23597476353/4000000000000000000000000000000,47194952731/8000000000000000000000000000000
713,4433555507/800000000000000000000000000000,8867111019/1600000000000000000000000000000
714,41649399579/8000000000000000000000000000000,10412349901/2000000000000000000000000000000
715,19562995011/4000000000000000000000000000000,39125990047/8000000000000000000000000000000
716,18377733061/4000000000000000000000000000000,36755466147/8000000000000000000000000000000
717,8632141251/2000000000000000000000000000000,34528565029/8000000000000000000000000000000
718,8109146251/2000000000000000000000000000000,32436585029/8000000000000000000000000000000
719,6094270333/1600000000000000000000000000000,3047135169/800000000000000000000000000000
720,5725037159/1600000000000000000000000000000,1431259291/400000000000000000000000000000
721,26890873461/8000000000000000000000000000000,13445436743/4000000000000000000000000000000
722,25261637799/8000000000000000000000000000000,394713091/125000000000000000000000000000
723,2966389067/1000000000000000000000000000000,23731112561/8000000000000000000000000000000
724,22293317111/8000000000000000000000000000000,1393332321/500000000000000000000000000000
725,20942633307/8000000000000000000000000000000,5235658333/2000000000000000000000000000000
726,9836891649/4000000000000000000000000000000,19673783323/8000000000000000000000000000000
727,739272361/320000000000000000000000000000,369636181/160000000000000000000000000000
728,8681026411/4000000000000000000000000000000,17362052847/8000000000000000000000000000000
729,8155069609/4000000000000000000000000000000,16310139243/8000000000000000000000000000000
730,15321957837/8000000000000000000000000000000,7660978931/4000000000000000000000000000000
731,14393647339/8000000000000000000000000000000,3598411841/2000000000000000000000000000000
732,13521580331/8000000000000000000000000000000,3380395089/2000000000000000000000000000000
733,1587793649/1000000000000000000000000000000,12702349217/8000000000000000000000000000000
734,11932752759/8000000000000000000000000000000,745797049/500000000000000000000000000000
735,11209783817/8000000000000000000000000000000,5604891921/4000000000000000000000000000000
736,10530617349/8000000000000000000000000000000,10530617373/8000000000000000000000000000000
737,9892599497/8000000000000000000000000000000,9892599521/8000000000000000000000000000000
738,1161654649/1000000000000000000000000000000,290413663/250000000000000000000000000000
739,8730188413/8000000000000000000000000000000,4365094219/4000000000000000000000000000000
740,1640250607/1600000000000000000000000000000,410062653/400000000000000000000000000000
741,963045529/1000000000000000000000000000000,7704364257/8000000000000000000000000000000
742,18093951/20000000000000000000000000000,289503217/320000000000000000000000000000
743,679907757/800000000000000000000000000000,1359815519/1600000000000000000000000000000
744,1596785571/2000000000000000000000000000000,6387142309/8000000000000000000000000000000
745,1200032979/1600000000000000000000000000000,150004123/200000000000000000000000000000
746,5636633281/8000000000000000000000000000000,2818316653/4000000000000000000000000000000
747,2647563467/4000000000000000000000000000000,5295126959/8000000000000000000000000000000
748,4974311411/8000000000000000000000000000000,1243577859/2000000000000000000000000000000
749,4672933117/8000000000000000000000000000000,2336466571/4000000000000000000000000000000
750,4389814411/8000000000000000000000000000000,1097453609/2000000000000000000000000000000
751,4123849001/8000000000000000000000000000000,164953961/320000000000000000000000000000
752,193699881/400000000000000000000000000000,968499411/2000000000000000000000000000000
753,3639283969/8000000000000000000000000000000,3639283993/8000000000000000000000000000000
754,3418790899/8000000000000000000000000000000,3418790923/8000000000000000000000000000000
755,3211656829/8000000000000000000000000000000,3211656853/8000000000000000000000000000000
756,1508536189/4000000000000000000000000000000,1508536201/4000000000000000000000000000000
757,2834277203/8000000000000000000000000000000,2834277227/8000000000000000000000000000000
758,665639257/2000000000000000000000000000000,665639263/2000000000000000000000000000000
759,625310213/2000000000000000000000000000000,625310219/2000000000000000000000000000000
760,2349698329/8000000000000000000000000000000,2349698353/8000000000000000000000000000000
761,2207337303/8000000000000000000000000000000,2207337327/8000000000000000000000000000000
762,259200187/1000000000000000000000000000000,25920019/100000000000000000000000000000
763,486992083/2000000000000000000000000000000,486992089/2000000000000000000000000000000
764,1829946897/8000000000000000000000000000000,1829946921/8000000000000000000000000000000
765,1719076019/8000000000000000000000000000000,1719076043/8000000000000000000000000000000
766,403730617/2000000000000000000000000000000,403730623/2000000000000000000000000000000
767,1517079261/8000000000000000000000000000000,303415857/1600000000000000000000000000000
768,57006563/320000000000000000000000000000,1425164099/8000000000000000000000000000000
769,334704437/2000000000000000000000000000000,334704443/2000000000000000000000000000000
770,1257702881/8000000000000000000000000000000,251540581/1600000000000000000000000000000
771,236300503/1600000000000000000000000000000,1181502539/8000000000000000000000000000000
772,69369931/500000000000000000000000000000,27747973/200000000000000000000000000000
773,1042672309/8000000000000000000000000000000,1042672333/8000000000000000000000000000000
774,979499987/8000000000000000000000000000000,979500011/8000000000000000000000000000000
775,460077541/4000000000000000000000000000000,460077553/4000000000000000000000000000000
776,864405703/8000000000000000000000000000000,864405727/8000000000000000000000000000000
777,101504251/1000000000000000000000000000000,50752127/500000000000000000000000000000
778,381417677/4000000000000000000000000000000,381417689/4000000000000000000000000000000
779,89577187/1000000000000000000000000000000,8957719/100000000000000000000000000000
780,168299959/2000000000000000000000000000000,33659993/400000000000000000000000000000
781,632412719/8000000000000000000000000000000,632412743/8000000000000000000000000000000
782,594096769/8000000000000000000000000000000,594096793/8000000000000000000000000000000
783,111620453/1600000000000000000000000000000,558102289/8000000000000000000000000000000
784,262144279/4000000000000000000000000000000,262144291/4000000000000000000000000000000
785,24049/390625000000000000000000000,61565443/1000000000000000000000000000000
786,115670757/2000000000000000000000000000000,115670763/2000000000000000000000000000000
787,5433131/100000000000000000000000000000,54331313/1000000000000000000000000000000
788,204158169/4000000000000000000000000000000,204158181/4000000000000000000000000000000
789,383577701/8000000000000000000000000000000,15343109/320000000000000000000000000000
790,180168951/4000000000000000000000000000000,180168963/4000000000000000000000000000000
791,84626533/2000000000000000000000000000000,84626539/2000000000000000000000000000000
792,158998541/4000000000000000000000000000000,158998553/4000000000000000000000000000000
793,74682653/2000000000000000000000000000000,74682659/2000000000000000000000000000000
794,280631439/8000000000000000000000000000000,280631463/8000000000000000000000000000000
795,263628839/8000000000000000000000000000000,263628863/8000000000000000000000000000000
796,1981251/64000000000000000000000000000,247656399/8000000000000000000000000000000
797,232651633/8000000000000000000000000000000,232651657/8000000000000000000000000000000
798,218555983/8000000000000000000000000000000,218556007/8000000000000000000000000000000
799,41062869/1600000000000000000000000000000,205314369/8000000000000000000000000000000
800,192874977/8000000000000000000000000000000,192875001/8000000000000000000000000000000
801,22648659/1000000000000000000000000000000,11324331/500000000000000000000000000000
802,10638223/500000000000000000000000000000,21276449/1000000000000000000000000000000
803,15989897/800000000000000000000000000000,79949497/4000000000000000000000000000000
804,150211181/8000000000000000000000000000000,30042241/1600000000000000000000000000000
805,28222069/1600000000000000000000000000000,141110369/8000000000000000000000000000000
806,132560901/8000000000000000000000000000000,5302437/320000000000000000000000000000
807,62264721/4000000000000000000000000000000,62264733/4000000000000000000000000000000
808,14623073/1000000000000000000000000000000,3655769/250000000000000000000000000000
809,54948423/4000000000000000000000000000000,10989687/800000000000000000000000000000
810,25809633/2000000000000000000000000000000,25809639/2000000000000000000000000000000
811,775869/64000000000000000000000000000,96983649/8000000000000000000000000000000
812,22776921/2000000000000000000000000000000,22776927/2000000000000000000000000000000
813,21396937/2000000000000000000000000000000,21396943/2000000000000000000000000000000
814,10050281/1000000000000000000000000000000,2512571/250000000000000000000000000000
815,37765461/4000000000000000000000000000000,37765473/4000000000000000000000000000000
816,35477367/4000000000000000000000000000000,35477379/4000000000000000000000000000000
817,66655803/8000000000000000000000000000000,16663957/2000000000000000000000000000000
818,15654333/2000000000000000000000000000000,62617357/8000000000000000000000000000000
819,58823539/8000000000000000000000000000000,14705891/2000000000000000000000000000000
820,138149/20000000000000000000000000000,442077/64000000000000000000000000000
821,5191159/800000000000000000000000000000,10382323/1600000000000000000000000000000
822,1950657/320000000000000000000000000000,975329/160000000000000000000000000000
823,5726477/1000000000000000000000000000000,45811841/8000000000000000000000000000000
824,21518109/4000000000000000000000000000000,43036243/8000000000000000000000000000000
825,8085757/1600000000000000000000000000000,4042881/800000000000000000000000000000
826,593427/125000000000000000000000000000,37979353/8000000000000000000000000000000
827,8919569/2000000000000000000000000000000,35678301/8000000000000000000000000000000
828,16758319/4000000000000000000000000000000,33516663/8000000000000000000000000000000
829,31485967/8000000000000000000000000000000,3935749/1000000000000000000000000000000
830,3697291/1000000000000000000000000000000,29578353/8000000000000000000000000000000
831,27786267/8000000000000000000000000000000,6946573/2000000000000000000000000000000
832,13051391/4000000000000000000000000000000,26102807/8000000000000000000000000000000
833,12260647/4000000000000000000000000000000,24521319/8000000000000000000000000000000
834,23035623/8000000000000000000000000000000,89983/31250000000000000000000000000
835,4327993/1600000000000000000000000000000,2163999/800000000000000000000000000000
836,4065773/1600000000000000000000000000000,2032889/800000000000000000000000000000
837,19097201/8000000000000000000000000000000,9548613/4000000000000000000000000000000
838,56063/25000000000000000000000000000,3588037/1600000000000000000000000000000
839,842661/400000000000000000000000000000,3370649/1600000000000000000000000000000
840,3166427/1600000000000000000000000000000,15832159/8000000000000000000000000000000
841,7436457/4000000000000000000000000000000,7436469/4000000000000000000000000000000
842,13971809/8000000000000000000000000000000,13971833/8000000000000000000000000000000
843,13125299/8000000000000000000000000000000,13125323/8000000000000000000000000000000
844,12330077/8000000000000000000000000000000,12330101/8000000000000000000000000000000
845,2316607/1600000000000000000000000000000,11583059/8000000000000000000000000000000
846,5440627/4000000000000000000000000000000,5440639/4000000000000000000000000000000
847,1277749/1000000000000000000000000000000,159719/125000000000000000000000000000
848,600167/500000000000000000000000000000,1200337/1000000000000000000000000000000
849,72167/64000000000000000000000000000,9020899/8000000000000000000000000000000
850,8474327/8000000000000000000000000000000,8474351/8000000000000000000000000000000
851,7960893/8000000000000000000000000000000,7960917/8000000000000000000000000000000
852,3739283/4000000000000000000000000000000,747859/800000000000000000000000000000
853,3512731/4000000000000000000000000000000,3512743/4000000000000000000000000000000
854,659981/800000000000000000000000000000,3299917/4000000000000000000000000000000
855,6199947/8000000000000000000000000000000,6199971/8000000000000000000000000000000
856,5824311/8000000000000000000000000000000,1164867/1600000000000000000000000000000
857,5471433/8000000000000000000000000000000,5471457/8000000000000000000000000000000
858,1027987/1600000000000000000000000000000,5139959/8000000000000000000000000000000
859,2414261/4000000000000000000000000000000,2414273/4000000000000000000000000000000
860,566997/1000000000000000000000000000000,567/1000000000000000000000000000
861,852231/1600000000000000000000000000000,4261179/8000000000000000000000000000000
862,500373/1000000000000000000000000000000,62547/125000000000000000000000000000
863,752091/1600000000000000000000000000000,3760479/8000000000000000000000000000000
864,176631/400000000000000000000000000000,883161/2000000000000000000000000000000
865,3318589/8000000000000000000000000000000,3318613/8000000000000000000000000000000
866,124701/320000000000000000000000000000,3117549/8000000000000000000000000000000
867,2928643/8000000000000000000000000000000,2928667/8000000000000000000000000000000
868,550241/1600000000000000000000000000000,2751229/8000000000000000000000000000000
869,2584517/8000000000000000000000000000000,2584541/8000000000000000000000000000000
870,2427929/8000000000000000000000000000000,2427953/8000000000000000000000000000000
871,570207/2000000000000000000000000000000,570213/2000000000000000000000000000000
872,2142639/8000000000000000000000000000000,2142663/8000000000000000000000000000000
873,2012823/8000000000000000000000000000000,2012847/8000000000000000000000000000000
874,236359/1000000000000000000000000000000,118181/500000000000000000000000000000
875,1776309/8000000000000000000000000000000,1776333/8000000000000000000000000000000
876,1668687/8000000000000000000000000000000,1668711/8000000000000000000000000000000
877,783793/4000000000000000000000000000000,156761/800000000000000000000000000000
878,147261/800000000000000000000000000000,736317/4000000000000000000000000000000
879,1383389/8000000000000000000000000000000,1383413/8000000000000000000000000000000
880,1299573/8000000000000000000000000000000,1299597/8000000000000000000000000000000
881,244167/1600000000000000000000000000000,1220859/8000000000000000000000000000000
882,286717/2000000000000000000000000000000,286723/2000000000000000000000000000000
883,538691/4000000000000000000000000000000,538703/4000000000000000000000000000000
884,506053/4000000000000000000000000000000,101213/800000000000000000000000000000
885,190157/1600000000000000000000000000000,950809/8000000000000000000000000000000
886,893179/8000000000000000000000000000000,893203/8000000000000000000000000000000
887,104883/1000000000000000000000000000000,52443/500000000000000000000000000000
888,788227/8000000000000000000000000000000,788251/8000000000000000000000000000000
889,74047/800000000000000000000000000000,370247/4000000000000000000000000000000
890,695607/8000000000000000000000000000000,695631/8000000000000000000000000000000
891,326731/4000000000000000000000000000000,326743/4000000000000000000000000000000
892,61387/800000000000000000000000000000,306947/4000000000000000000000000000000
893,576677/8000000000000000000000000000000,576701/8000000000000000000000000000000
894,541737/8000000000000000000000000000000,541761/8000000000000000000000000000000
895,254457/4000000000000000000000000000000,254469/4000000000000000000000000000000
896,747/12500000000000000000000000000,59763/1000000000000000000000000000000
897,224557/4000000000000000000000000000000,224569/4000000000000000000000000000000
898,421903/8000000000000000000000000000000,421927/8000000000000000000000000000000
899,396341/8000000000000000000000000000000,79273/1600000000000000000000000000000
900,372327/8000000000000000000000000000000,372351/8000000000000000000000000000000
901,43721/1000000000000000000000000000000,10931/250000000000000000000000000000
902,2567/62500000000000000000000000000,1643/40000000000000000000000000000
903,77167/2000000000000000000000000000000,77173/2000000000000000000000000000000
904,144983/4000000000000000000000000000000,28999/800000000000000000000000000000
905,272397/8000000000000000000000000000000,272421/8000000000000000000000000000000
906,255893/8000000000000000000000000000000,255917/8000000000000000000000000000000
907,240389/8000000000000000000000000000000,240413/8000000000000000000000000000000
908,7057/250000000000000000000000000000,28231/1000000000000000000000000000000
909,106071/4000000000000000000000000000000,106083/4000000000000000000000000000000
910,24911/1000000000000000000000000000000,12457/500000000000000000000000000000
911,187213/8000000000000000000000000000000,187237/8000000000000000000000000000000
912,17587/800000000000000000000000000000,87947/4000000000000000000000000000000
913,82607/4000000000000000000000000000000,82619/4000000000000000000000000000000
914,38801/2000000000000000000000000000000,38807/2000000000000000000000000000000
915,729/40000000000000000000000000000,4557/250000000000000000000000000000
916,68483/4000000000000000000000000000000,13699/800000000000000000000000000000
917,128667/8000000000000000000000000000000,128691/8000000000000000000000000000000
918,120871/8000000000000000000000000000000,24179/1600000000000000000000000000000
919,113547/8000000000000000000000000000000,113571/8000000000000000000000000000000
920,106667/8000000000000000000000000000000,106691/8000000000000000000000000000000
921,25051/2000000000000000000000000000000,25057/2000000000000000000000000000000
922,23533/2000000000000000000000000000000,23539/2000000000000000000000000000000
923,22107/2000000000000000000000000000000,22113/2000000000000000000000000000000
924,8307/800000000000000000000000000000,41547/4000000000000000000000000000000
925,78037/8000000000000000000000000000000,78061/8000000000000000000000000000000
926,18327/2000000000000000000000000000000,73333/8000000000000000000000000000000
927,34433/4000000000000000000000000000000,68891/8000000000000000000000000000000
928,64693/8000000000000000000000000000000,32359/4000000000000000000000000000000
929,60773/8000000000000000000000000000000,30399/4000000000000000000000000000000
930,5709/800000000000000000000000000000,11423/1600000000000000000000000000000
931,53631/8000000000000000000000000000000,6707/1000000000000000000000000000000
932,50381/8000000000000000000000000000000,25203/4000000000000000000000000000000
933,1479/250000000000000000000000000000,47353/8000000000000000000000000000000
934,2223/400000000000000000000000000000,8897/1600000000000000000000000000000
935,20883/4000000000000000000000000000000,41791/8000000000000000000000000000000
936,7847/1600000000000000000000000000000,1963/400000000000000000000000000000
937,36857/8000000000000000000000000000000,18441/4000000000000000000000000000000
938,34623/8000000000000000000000000000000,4331/1000000000000000000000000000000
939,1301/320000000000000000000000000000,651/160000000000000000000000000000
940,15277/4000000000000000000000000000000,30579/8000000000000000000000000000000
941,14351/4000000000000000000000000000000,28727/8000000000000000000000000000000
942,26963/8000000000000000000000000000000,6747/2000000000000000000000000000000
943,25329/8000000000000000000000000000000,12677/4000000000000000000000000000000
944,11897/4000000000000000000000000000000,23819/8000000000000000000000000000000
945,1397/500000000000000000000000000000,22377/8000000000000000000000000000000
946,20997/8000000000000000000000000000000,10511/4000000000000000000000000000000
